"","NAME","CAND_OFFICE_ST","TRANSACTION_AMT","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","GEN_ELECTION","GEN_ELECTION_PERCENT","Issues"
"25","MENENDEZ FOR CONGRESS","NJ",2000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Taxes"
"26","KENNEDY FOR SENATE 2006","MA",28759,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Taxes"
"27","HAROLD FORD FOR SENATE","TN",2000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Jobs"
"28","RE-ELECT HAROLD FORD JR","TN",2000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Big Business"
"29","HAROLD FORD JR. FOR TENNESSEE","TN",2000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Abortion"
"30","FRIENDS OF SHERROD BROWN","OH",2000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Civil Liberties"
"31","FRIENDS OF GEORGE ALLEN","VA",4000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Taxes"
"32","LIEBERMAN JOSEPH I","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Jobs"
"33","FRIENDS OF CONRAD BURNS - 2006","MT",2500,"S8MT00119","BURNS, CONRAD","REP","L",48,"Gun Rights"
"34","STABENOW FOR US SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Gun Rights"
"35","BURNS, CONRAD","MT",3000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Taxes"
"36","CITIZENS FOR OLYMPIA SNOWE","ME",2500,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Taxes"
"37","FRIENDS OF CONRAD BURNS","MT",2000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Gun Rights"
"38","TALENT FOR SENATE","MO",1500,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Abortion"
"39","SANTORUM 2006","PA",2000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Big Business"
"40","CANTWELL 2006","WA",2000,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Taxes"
"41","NELSON FOR US SENATE","NE",2000,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Big Business"
"42","KENNEDY FOR SENATE 2006","MA",2500,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Civil Liberties"
"43","KENNEDY FOR SENATE 2006","MA",4000,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Civil Liberties"
"44","TALENT FOR SENATE COMMITTEE","MO",2000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Gun Rights"
"45","FRIENDS OF GEORGE ALLEN","VA",2500,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Taxes"
"46","SANTORUM 2006","PA",2000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Gun Rights"
"47","RE-ELECT HAROLD FORD","TN",2000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Civil Liberties"
"48","MIKE DEWINE FOR SENATE","OH",2000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Civil Liberties"
"49","FRIENDS OF CONRAD BURNS - 2006","MT",1500,"S8MT00119","BURNS, CONRAD","REP","L",48,"Jobs"
"50","CARPER, THOMAS R","DE",5000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Taxes"
"51","SNOWE FOR SENATE","ME",2000,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Taxes"
"52","FRIENDS OF CONRAD BURNS","MT",2000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Taxes"
"53","FRIENDS OF CONRAD BURNS","MT",2000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Big Business"
"54","HAROLD FORD FOR SENATE","TN",2000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Gun Rights"
"55","MENENDEZ FOR CONGRESS","NJ",2000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Jobs"
"56","BEN CARDIN FOR UNITED STATES SENATE","MD",2000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Taxes"
"57","BEN CARDIN FOR UNITED STATES SENATE","MD",2000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Foreign Policy"
"58","FRIENDS OF GEORGE ALLEN","VA",2000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Abortion"
"59","TALENT FOR SENATE COMMITTEE","MO",2000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Abortion"
"60","FRIENDS OF DICK LUGAR INC","IN",2000,"S4IN00014","LUGAR, RICHARD G","REP","W",87,"Abortion"
"61","HARRIS KATHERINE","FL",2500,"S6FL00178","HARRIS, KATHERINE","REP","L",38,"Civil Liberties"
"62","FRIENDS OF ROBERT C BYRD COMM","WV",2000,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Big Business"
"63","STABENOW FOR US SENATE","MI",2000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Big Business"
"64","WHITEHOUSE '06","RI",2000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Taxes"
"65","TALENT FOR SENATE","MO",2000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Taxes"
"66","MENENDEZ FOR CONGRESS","NJ",2000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Jobs"
"67","FRIENDS OF JOE LIEBERMAN","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Taxes"
"68","LOTT FOR SENATE","MS",5000,"S8MS00162","LOTT, TRENT","REP","W",63,"Jobs"
"69","FRIENDS OF HILLARY","NY",2000,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Taxes"
"70","CARPER FOR SENATE","DE",3000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Gun Rights"
"71","FRIENDS OF CONRAD BURNS - 2006","MT",2000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Taxes"
"72","FRIENDS OF HILLARY","NY",3000,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Big Business"
"73","KENNEDY FOR SENATE 2006","MA",5000,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Abortion"
"74","FRIENDS OF KENT CONRAD","ND",2000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Jobs"
"75","NELSON 2006","NE",2000,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Foreign Policy"
"76","RE-ELECT HAROLD FORD","TN",1500,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Taxes"
"77","CANTWELL 2006","WA",1750,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Civil Liberties"
"78","FRIENDS OF KENT CONRAD","ND",2000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Civil Liberties"
"79","RE-ELECT HAROLD FORD JR","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Taxes"
"80","KENNEDY FOR SENATE 2006","MA",3000,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Big Business"
"81","FRIENDS OF CONRAD BURNS - 2006","MT",3000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Jobs"
"82","CANTWELL 2006","WA",2000,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Jobs"
"83","FRIENDS OF HILLARY","NY",2000,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Jobs"
"84","FRIENDS OF SHERROD BROWN","OH",2000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Civil Liberties"
"85","RE-ELECT HAROLD FORD, JR.","TN",3000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Jobs"
"86","BINGAMAN, JEFF","NM",5000,"S2NM00021","BINGAMAN, JEFF","DEM","W",70,"Abortion"
"87","CANTWELL, MARIA","WA",5000,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Gun Rights"
"88","CLINTON, HILLARY RODHAM","NY",4000,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Gun Rights"
"89","CLINTON, HILLARY RODHAM","NY",5000,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Abortion"
"90","NELSON, BILL","FL",5000,"S8FL00166","NELSON, BILL","DEM","W",60,"Big Business"
"91","NELSON, BILL","FL",5000,"S8FL00166","NELSON, BILL","DEM","W",60,"Civil Liberties"
"92","STABENOW, DEBBIE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Abortion"
"93","RE-ELECT HAROLD FORD JR","TN",2500,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Big Business"
"94","ENSIGN FOR SENATE","NV",3000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Foreign Policy"
"95","BEN NELSON FOR U.S. SENATE COMMITTEE","NE",2500,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Taxes"
"96","FRIENDS OF KENT CONRAD","ND",2500,"S6ND00058","CONRAD, KENT","DEM","W",68,"Abortion"
"97","CARPER FOR SENATE","DE",2000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Abortion"
"98","ENSIGN FOR SENATE","NV",2000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Abortion"
"99","SANTORUM 2006","PA",2000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Gun Rights"
"100","SANTORUM 2006","PA",2000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Taxes"
"101","FRIENDS OF CONRAD BURNS - 2006","MT",2500,"S8MT00119","BURNS, CONRAD","REP","L",48,"Abortion"
"102","FRIENDS OF CONRAD BURNS - 2006","MT",3000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Civil Liberties"
"103","FRIENDS OF KENT CONRAD","ND",5000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Gun Rights"
"104","CARPER FOR SENATE","DE",1740,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Gun Rights"
"105","FLORIDA SENATE 2006","FL",25000,"S8FL00166","NELSON, BILL","DEM","W",60,"Abortion"
"106","JON KYL FOR SENATE","AZ",2000,"S4AZ00030","KYL, JON","REP","W",52,"Taxes"
"107","FRIENDS OF ROBERT C. BYRD","WV",5000,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Abortion"
"108","BILL NELSON FOR U.S. SENATE","FL",2000,"S8FL00166","NELSON, BILL","DEM","W",60,"Abortion"
"109","FRIENDS OF KENT CONRAD","ND",4500,"S6ND00058","CONRAD, KENT","DEM","W",68,"Foreign Policy"
"110","SNOWE FOR SENATE","ME",4000,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Abortion"
"111","AKAKA, DANIEL K","HI",5000,"S0HI00084","AKAKA, DANIEL K","DEM","W",61,"Jobs"
"112","CARPER, THOMAS R","DE",5000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Gun Rights"
"113","KENNEDY, EDWARD MOORE SENATOR","MA",5000,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Foreign Policy"
"114","STABENOW, DEBBIE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Big Business"
"115","SANTORUM 2000","PA",2500,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Taxes"
"116","BILL NELSON FOR U S SENATE","FL",2000,"S8FL00166","NELSON, BILL","DEM","W",60,"Jobs"
"117","CARPER FOR SENATE","DE",2000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Gun Rights"
"118","FRIENDS OF HILLARY","NY",1500,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Taxes"
"119","FRIENDS OF KENT CONRAD","ND",2000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Big Business"
"120","FRIENDS OF KENT CONRAD","ND",2500,"S6ND00058","CONRAD, KENT","DEM","W",68,"Civil Liberties"
"121","FRIENDS OF KATHERINE HARRIS","FL",2000,"S6FL00178","HARRIS, KATHERINE","REP","L",38,"Foreign Policy"
"122","MARK KENNEDY 06","MN",2000,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Jobs"
"123","CARPER FOR SENATE","DE",2000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Taxes"
"124","FEINSTEIN FOR SENATE","CA",2000,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Gun Rights"
"125","STABENOW FOR US SENATE","MI",2000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Taxes"
"126","HATCH ELECTION COMMITTEE 06 SENATE RACE GENERAL","UT",5000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Jobs"
"127","JON KYL FOR US SENATE","AZ",2000,"S4AZ00030","KYL, JON","REP","W",52,"Civil Liberties"
"128","FRIENDS OF KENT CONRAD","ND",2500,"S6ND00058","CONRAD, KENT","DEM","W",68,"Foreign Policy"
"129","FRIENDS OF CONRAD BURNS 2006","MT",1500,"S8MT00119","BURNS, CONRAD","REP","L",48,"Foreign Policy"
"130","FRIENDS OF JOE LIEBERMAN","CT",2500,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Gun Rights"
"131","RE-ELECT HAROLD FORD JR","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Taxes"
"132","CARPER FOR SENATE","DE",2000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Foreign Policy"
"133","FRIENDS OF DICK LUGAR","IN",2000,"S4IN00014","LUGAR, RICHARD G","REP","W",87,"Abortion"
"134","CANTWELL 2006","WA",3000,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Foreign Policy"
"135","MCCASKILL FOR MISSOURI","MO",4000,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Jobs"
"136","HAROLD FORD JR. FOR TENNESSEE","TN",4000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Gun Rights"
"137","KENNEDY FOR SENATE 2006","MA",2000,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Gun Rights"
"138","HATCH ELECTION COMMITTEE INC.","UT",5000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Taxes"
"139","KENNEDY FOR SENATE 2006","MA",1500,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Abortion"
"140","FRIENDS OF GEORGE ALLEN","VA",2000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Jobs"
"141","BYRD, ROBERT C","WV",5000,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Big Business"
"142","LIEBERMAN, JOSEPH I","CT",3000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Abortion"
"143","LIEBERMAN, JOSEPH I","CT",2000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Taxes"
"144","FRIENDS OF GEORGE ALLEN","VA",2000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Abortion"
"145","SANTORUM 2006","PA",2000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Taxes"
"146","FRIENDS OF ROBERT C. BYRD","WV",5000,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Foreign Policy"
"147","NELSON 2006","NE",2000,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Abortion"
"148","BEN NELSON FOR US SENATE","NE",2000,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Jobs"
"149","NELSON 2006","NE",2000,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Gun Rights"
"150","FRIENDS OF KENT CONRAD","ND",5000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Gun Rights"
"151","JON KYL FOR U S SENATE","AZ",4000,"S4AZ00030","KYL, JON","REP","W",52,"Taxes"
"152","CAROLE GOEAS & ASSOCIATES LLC","PA",3000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Foreign Policy"
"153","TALENT FOR SENATE COMMITTEE","MO",1500,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Big Business"
"154","FRIENDS OF GEORGE ALLEN","VA",4000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Civil Liberties"
"155","TALENT FOR SENATE INC","MO",4000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Taxes"
"156","FEINSTEIN FOR SENATE","CA",2000,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Jobs"
"157","A LOT OF PEOPLE SUPPORTING JEFF BINGAMAN","NM",2100,"S2NM00021","BINGAMAN, JEFF","DEM","W",70,"Big Business"
"158","FEINSTEIN FOR SENATE","CA",2100,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Jobs"
"159","TALENT FOR SENATE INC","MO",4000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Taxes"
"160","FRIENDS OF GEORGE ALLEN","VA",2100,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Gun Rights"
"161","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",5000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Foreign Policy"
"162","BILL NELSON FOR U.S. SENATE","FL",5000,"S8FL00166","NELSON, BILL","DEM","W",60,"Foreign Policy"
"163","FRIENDS OF ROBERT C. BYRD COMMITTEE","WV",2000,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Civil Liberties"
"164","STABENOW FOR U.S. SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Civil Liberties"
"165","FRIENDS OF KENT CONRAD","ND",1500,"S6ND00058","CONRAD, KENT","DEM","W",68,"Foreign Policy"
"166","JON KYL FOR U S SENATE","AZ",3000,"S4AZ00030","KYL, JON","REP","W",52,"Foreign Policy"
"167","SANTORUM 2006","PA",1500,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Big Business"
"168","FEINSTEIN FOR SENATE","CA",2000,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Big Business"
"169","ENSIGN FOR SENATE","NV",1500,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Abortion"
"170","TRENT LOTT FOR MISSISSIPPI","MS",5000,"S8MS00162","LOTT, TRENT","REP","W",63,"Gun Rights"
"171","FRIENDS OF CONRAD BURNS - 2006","MT",1500,"S8MT00119","BURNS, CONRAD","REP","L",48,"Civil Liberties"
"172","JON KYL FOR U S SENATE","AZ",5000,"S4AZ00030","KYL, JON","REP","W",52,"Foreign Policy"
"173","FRIENDS OF GEORGE ALLEN","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Jobs"
"174","HATCH ELECTION COMMITTEE INC","UT",5000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Gun Rights"
"175","SNOWE FOR SENATE","ME",5000,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Civil Liberties"
"176","TALENT FOR SENATE COMMITTEE","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Jobs"
"177","STABENOW FOR US SENATE","MI",2000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Jobs"
"178","FRIENDS OF CRAIG THOMAS","WY",2500,"S4WY00055","THOMAS, CRAIG","REP","W",70,"Jobs"
"179","SANTORUM 2006","PA",4000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Foreign Policy"
"180","FRIENDS OF KENT CONRAD","ND",2000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Taxes"
"181","FRIENDS OF GEORGE ALLEN","VA",4000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Civil Liberties"
"182","A LOT OF PEOPLE WHO SUPPORT JEFF BINGAMAN","NM",2000,"S2NM00021","BINGAMAN, JEFF","DEM","W",70,"Taxes"
"183","FRIENDS OF CRAIG THOMAS","WY",2500,"S4WY00055","THOMAS, CRAIG","REP","W",70,"Civil Liberties"
"184","HATCH ELECTION CMTE INC.","UT",2000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Jobs"
"185","SANTORUM 2006","PA",2000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Taxes"
"186","TRENT LOTT FOR MISSISSIPPI","MS",3000,"S8MS00162","LOTT, TRENT","REP","W",63,"Civil Liberties"
"187","HATCH ELECTION COMMITTEE INC.","UT",2000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Jobs"
"188","ENSIGN FOR SENATE","NV",3000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Foreign Policy"
"189","HATCH ELECTION COMMITTEE INC","UT",3000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Taxes"
"190","MIKE DEWINE FOR US SENATE","OH",4000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Abortion"
"191","FRIENDS OF JOE LIEBERMAN","CT",1500,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Taxes"
"192","MIKE DEWINE FOR US SENATE","OH",2000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Civil Liberties"
"193","TRENT LOTT FOR MISSISSIPPI","MS",2000,"S8MS00162","LOTT, TRENT","REP","W",63,"Abortion"
"194","FRIENDS OF GEORGE ALLEN","VA",1500,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Civil Liberties"
"195","AKAKA IN 2006","HI",2000,"S0HI00084","AKAKA, DANIEL K","DEM","W",61,"Civil Liberties"
"196","SANTORUM 2006","PA",2000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Taxes"
"197","ENSIGN FOR SENATE","NV",2000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Taxes"
"198","BOB CASEY FOR PA COMMITTEE","PA",2500,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Big Business"
"199","BOB CASEY FOR PA COMMITTEE","PA",2500,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Taxes"
"200","2005 SENATORS' CLASSIC CMTE.","UT",3000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Abortion"
"201","2005 SENATORS' CLASSIC CMTE.","ME",3500,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Gun Rights"
"202","TALENT FOR SENATE","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Taxes"
"203","CARPER FOR SENATE","DE",1500,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Jobs"
"204","HATCH ELECTION COMMITTEE INC","UT",2000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Taxes"
"205","MIKE DEWINE FOR U S SENATE","OH",3000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Taxes"
"206","MIKE DEWINE FOR U S SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Big Business"
"207","STABENOW FOR U.S. SENATE","MI",3500,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Big Business"
"208","STABENOW FOR U.S. SENATE","MI",1500,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Foreign Policy"
"209","NEW REPUBLICAN MAJORITY FUND","MS",5000,"S8MS00162","LOTT, TRENT","REP","W",63,"Big Business"
"210","RE-ELECT HAROLD FORD JR","TN",4000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Foreign Policy"
"211","FRIENDS OF GEORGE ALLEN","VA",1500,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Gun Rights"
"212","TALENT FOR SENATE COMMITTEE","MO",4000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Foreign Policy"
"213","SANTORUM, RICHARD J","PA",2000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Abortion"
"214","FRIENDS OF GEORGE ALLEN","VA",4000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Big Business"
"215","AKAKA IN 2006","HI",4000,"S0HI00084","AKAKA, DANIEL K","DEM","W",61,"Big Business"
"216","KENNEDY FOR SENATE 2006","MA",2500,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Foreign Policy"
"217","HATCH ELECTION COMMITTEE INC.","UT",1250,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Abortion"
"218","HATCH ELECTION COMMITTEE INC.","UT",1250,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Foreign Policy"
"219","FRIENDS OF KENT CONRAD","ND",2000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Big Business"
